id,name,age,gender,city,country,credit_card,full_address,user_source_type,user_status,product_name,category,subcategory,price,date_purchase,quantity,rating,comment,user_id,product_id,date_purchase_id,comment_id,total
2001,b'gAAAAABlumZ1ElAsNeyifHqnOkARZDKBFKZfKWSBvE0zeLDoNlopexvAbPrFpKGaH2SDA2shtSDEQ7IzvSy3lcZnskZxamLfSQ==',68,F,South Haileyfurt,Algeria,b'gAAAAABlumZ2O3NF35ke2XV7RreFHhfDZMT3JlOXN_ah0VXR8Zg4qUevbcfu1wxpsmNno79ZPpL1tkbLstUyB-s7VTXEGY_88623ciXEhtQAV-aS87-XcRI=',b'gAAAAABlumZ2BgmCkJk-5ew-qjvsZMeADNJSuB9F2qkVB3dLcHCqqDPDiEKgi1JHrg0ZpiZiFcLjqlncTXEZqxBUKOd461c5wQy8XDNiRsT3IrwSNEDgfawDJtEFzZDL4kLld7O47R2h',Monthly,Active,PantsWear,Clothing,Pants,86.0,2021-12-03,5,4,Beatae velit sed ipsa incidunt fugiat ut.,1151,48,853,333,430.0
2002,b'gAAAAABlumZ1iquFB_BLQaWutKz7TDNAsxZ8NO6vx0TI_kD2QxrLDhHWwdmdTJC6umD6U4L03oNgpPxx0bj5oJF-QjdwxOzms5MdWZOsd8J5T7Nf_ey3ZVg=',18,M,Port Lisaborough,Taiwan,b'gAAAAABlumZ2ZkOFn0r9Y99qUsUXsp1UoXHSumxKFPVQYAMjVi6uH0xI_na5y5PiN4SLtyJI5rMhgRPezKtpfuzVQqBBuAEs-AGEMYz-qXB0OrJWS2G_dRE=',b'gAAAAABlumZ24phMflhITwoBdlmqCLj9rs_1IcBil_Cz1xEg2ib4i__idTaB6MyANm3gTHs38opHvC7n4KLQoz1n4WPHJ7XtFxnfLlKwts8cQrbEXZ1nm3w=',Yearly,Churned,UltraPhone,Electronics,Phone,52.0,2023-12-04,10,3,Nesciunt reprehenderit quas ipsam corrupti fuga voluptas.,121,75,1436,1702,520.0
2003,b'gAAAAABlumZ1RGxVuLqPXKMBAQ0GUi1U1X1zJSCIk6M-PIZYqA4l9EAHu-oSR7gd9LmE1KUKb_p38znBegGz0F9ojpOURJcz4A==',59,F,Crystalton,Thailand,b'gAAAAABlumZ2aOga1_xuU0E4VSozsjxjn9tIywhmSca8Bm27dEvZ3y8pq49e15dewmtof_geGj-BSSftE9fWqoh7RAccKRafANldwrEVpVkyofObBTvzRqk=',b'gAAAAABlumZ2KM4UTFKYDw4h5Us2Q3q7ragqnTUVdk3TIR-xa7txwuTulurUkZlHvVHzHKgH-VdbHDPRWIdqhlPyBhjaO8Zg4z8WQZiAINIohMhek-RVaQJMN_ZCmAEqc8chFTsw2ZfR',Monthly,Active,ChairWear,Furniture,Chair,35.0,2023-12-08,9,1,Eveniet odio quo aliquid et deleniti qui.,500,20,1440,1086,315.0
2004,b'gAAAAABlumZ1iseGFwNFKkc69iIDrJF6l1NZORRMqEFhcWbSXnMgSS8uBGHxJAzxCZ7NCH3tGuu-ApWQzeBiLySP0_u-PUmNWw==',48,F,Kathryntown,Bahrain,b'gAAAAABlumZ2J0hj5e9l-cResMIzMp8ovgCFGtOw6fGCdRkXOOxycU_snVEnyahfIpaKHPbngDWL_gm8Fi0C1zQgJCG8n9r6McXJ0pIrdab9g4tE1J7Lx8U=',b'gAAAAABlumZ2Q-aK4A6KmMsRz85Fsq_7xXQM692CJYmvQW3ULqVVVAnd5mZS20LSXH96bQ7DmXHnJm8-SDnWMwXyKeiMCAjcdu75_XaQyZEJ7RyE7hl_H4tU_jzFehswC2yR3OONGDBe',Yearly,Active,EducationalGuide,Books,Educational,264.0,2020-06-25,4,3,Et tempora facilis temporibus ab voluptas cupiditate.,748,24,433,1040,1056.0
2005,b'gAAAAABlumZ1lHe6Kz7g-mOwYMyCWqMBhMFtOmKFAqfp1Wk_X4S5NOlIzgr0wvITDZBwgVJg4WouaHlOpkCp5na-5Q3TiciFTw==',49,F,South Sean,Cape Verde,b'gAAAAABlumZ2RrV5cYIV6Le8hhgRchzLM-HjnL95wX8r5CA05FAxhyUexeWmu3nyfKr-eJeVMhcRPBCfTVcmg6UNV1mXIslHYyCAXcxW21WHzPlt1l-ldpw=',b'gAAAAABlumZ2B01yuppdgwBPn2clWl2RLWoqQQwyIxZNXhqJzBNLX44tqOdgQOjVEPOTX2yDf6Z-9DZtv-pqCJt5JhryQlF7VAKUjE_IJ0iEE0mWwCkuOaMZjX34ceKU2-Okwmb_ZkvMUB2joDLdoFhUuI6yWleAYQ==',Rarely,Active,UltraSpeaker,Electronics,Speaker,89.0,2019-06-29,1,5,Dolor explicabo occaecati perferendis reprehenderit nobis labore.,212,76,149,598,89.0
2006,b'gAAAAABlumZ1iI1mO_mt_GAHVZn51tdPTklVp4NqqEFSeeuawtSbbUW0wyWM8pog-fzPvMlei9CRhUjm3GSUKNKVck9L5ixUXg==',28,M,Kimberlybury,Nauru,b'gAAAAABlumZ2MeXj13jCd-H_uAsqBpvuvyhyKN6_Wb72ObOeFOcNdGY3PoAtXqwmNsFek7OwD8ldRA9mGsDYqZnmTB4Ru8xRGyYBLEGzQ4ER3Y6iyU5JDaU=',b'gAAAAABlumZ2D6i-5GSO3YaRGXNA_N1RTHxUq2TMr4cNx-6_5AH5HaGC56lRzifTxUTSrfshcw930T8v_eweRIYTYtFaYOcAVKgaXwXABUfmNtHqZqCGcqtojJtIA7o12Uwwtykf2BU4QMs0Jb17ImHDklphQzeiOQ==',Yearly,Churned,MegaSpeaker,Electronics,Speaker,287.0,2019-11-07,3,2,Labore tenetur autem fugiat ut nihil eligendi ut.,84,42,258,1459,861.0
2007,b'gAAAAABlumZ1PPFCBATvD_ohixbKFYQDzx9s1PJu43ukvbAxK897ZqrtP39piTVUJzHqtdZDB4qWy4ABAi6nF6vh4ZsW17DeuA==',58,M,Joehaven,Andorra,b'gAAAAABlumZ2lsSpkbTG7lNbooP4NBilRd7HYZG-UzCTfup4yftJH5DoahW1njJrphrtoqOWMHPFjBaL1150TOavGy4hTsyHnDXTaTfS2B-U49o2XOsuIWs=',b'gAAAAABlumZ2GsViZ0LTGJtokEaWzBGe3NX9mmeha04whzQQcEC8u4Z92yDl7F0wQT0nF_gvDPVwytUObeJGfRbQ_XvKavxJtvA14hOzv7p33Z6Zsa8JJniwcckhZOMZPrX5qp6uHYvj',Yearly,Active,PhoneMaster,Electronics,Phone,35.0,2023-07-01,4,3,Odio ea ducimus est est itaque atque.,172,49,1306,1832,140.0
2008,b'gAAAAABlumZ1-O4xBljRGbu3_VWjApWsFG_p-0FaLI-RUlL02FtH_Kg-kNIEDXiUzR8OalbTbXJrGqckZnSqklR7a_PkwjniOw==',64,F,New Williamtown,Bahrain,b'gAAAAABlumZ2wJ_RDEN58C38r0kN6kOEaRH_sK5NqR7cJ-8uwJRm7v6ZtbQWMpwpa95WCYh7fHgBLgVhs58KfJKx17I1Yo3TZfjMRpqC5dKg5Ci6AaP6tZk=',b'gAAAAABlumZ2cUA3FA6X4PR1_USIBd8rqR4DNi9xd7JMd-CmaBtcRfmBrV8QtvaxuY_ntHXhkDfqxg1TurlD8bx-r9O-hWrzeuBbE4xhmkClsZtnYkNMqu3-_lEHIHgdnKd3ibdH9AF7A25l1oxxaSCrEC6ogY2LdQ==',Rarely,Active,TableDeluxe,Furniture,Table,354.0,2021-12-09,10,5,Ratione quos omnis nesciunt.,966,66,858,2324,3540.0
2009,b'gAAAAABlumZ1v6TRDZf10e8t44A2L3HxmJQZ3xuKlzBhbAqM4oPLaZe_gtRfV_3UJLRNkC34MtWjxbw1smtAirTLxmhh5FfRrHGiRLxICvCi8XTG21BvaIA=',47,M,Taylorfurt,Syrian Arab Republic,b'gAAAAABlumZ2hMrIkLfYl1pIoLCXaTf_5DicWKkWRMF1vhsQ0D6WOWZ5f89A3V8g5Zwl0YX1MQYNcjcBrbxIdk1c88raJQ9gIOKtHHakITViy79OXSb0vLA=',b'gAAAAABlumZ2ey5j6Cz3EsEuwtp5E82s7Sz9ye0Ru3d4zcuwGMyxzo2l7NI2ph9dCgiAbMrEym-78z6N61JEZqjlMdTPRi48UivzB0YnoVvZXN0EmQ_J7jRBUF9UiWkSx-Cbqpz9K2ZL',Yearly,Active,PantsWear,Clothing,Pants,67.0,2023-10-13,8,3,Autem vitae a sequi sunt eum rerum porro.,483,48,1391,320,536.0
2010,b'gAAAAABlumZ1rP6DCikgAlb-TDmUd8VC4eL4dAcqvMILGXmAUAZ6VEAVg8myOsdiMjz8lH5BSRR9nPiSn9cP5I-yibUVqT1cIw==',32,F,East Saraberg,Cayman Islands,b'gAAAAABlumZ2E_ooQ0VpNKa4FPQxiChKzuRqXouoEPa0vgnqr87FptTB1QxC2-GJk4DF4FZw4P5gXQNGtpEe5a1I10QDWTLB2UdybxSn8XL3Ekopb_ganCY=',b'gAAAAABlumZ2e4ndEKtNspBrQAjBSv1Cj3fXhV_IhDTlvU1fdfTiC4inpNQVib4x6PLo7yvDobrIE62oTwUrwq1jrfAoYjkM43vWutn-y_AqGf6n4ANKZV6Mr222HGzdf16HcDOH4p5AutuyMN0InzmKP_oEt3cQUA==',Yearly,Active,Category:GroceryBeverages,Grocery,Beverages,308.0,2019-01-30,7,3,Corporis libero officiis provident reiciendis aut ipsam.,821,14,23,425,2156.0
