id,name,age,gender,city,country,credit_card,full_address,user_source_type,user_status,product_name,category,subcategory,price,date_purchase,quantity,rating,comment
2001,Sonya Palmer,150,F,South Haileyfurt,Algeria,2288949558821952,"07194 Warren Cliffs, Bergshire, AR 61898",Monthly,Active,PantsWear,Clothing,Pants,-86.00,2021-12-03,5,4,Beatae velit sed ipsa incidunt fugiat ut.
2002,Bethany Rodriguez,18,M,Port Lisaborough,Taiwan,2286040615190441,"2802 Palmer Corner Suite 632, Ericmouth, VI 60641",Yearly,Churned,UltraPhone,Electronics,Phone,-52.00,2023-12-04,10,3,Nesciunt reprehenderit quas ipsam corrupti fuga voluptas.
2003,Jason Lopez,59,F,Crystalton,Thailand,2458745851540776,"1740 Michael Inlet, Port Thomas, WA 20722",Monthly,Active,ChairWear,Furniture,Chair,-35.00,2023-12-08,9,1,Eveniet odio quo aliquid et deleniti qui.
2004,Lauren Johnson,150,F,Kathryntown,Bahrain,2240416869751499,"09531 Evans Island, East Kristina, DE 42880",Yearly,Active,EducationalGuide,Books,Educational,264.00,2020-06-25,4,3,Et tempora facilis temporibus ab voluptas cupiditate.
2005,Christine Allen,150,F,South Sean,Cape Verde,5445117127415267,"USCGC King, FPO AA 32893",Rarely,Active,UltraSpeaker,Electronics,Speaker,-89.00,2019-06-29,1,5,Dolor explicabo occaecati perferendis reprehenderit nobis labore.
2006,Anthony Dixon,-5,M,Kimberlybury,Nauru,2504326513246682,"605 Flores Centers, Aprilborough, UT 17889",Yearly,Churned,MegaSpeaker,Electronics,Speaker,287.00,2019-11-07,3,2,Labore tenetur autem fugiat ut nihil eligendi ut.
2007,Carlos Thompson,-5,M,Joehaven,Andorra,2553377724924575,"291 Williams Skyway, Paulchester, WI 74849",Yearly,Active,PhoneMaster,Electronics,Phone,-35.00,2023-07-01,4,3,Odio ea ducimus est est itaque atque.
2008,Nicole White,-2,F,New Williamtown,Bahrain,2619610657542853,"649 Riggs Islands, Padillaside, ME 67093",Rarely,Active,TableDeluxe,Furniture,Table,354.00,2021-12-09,10,5,Ratione quos omnis nesciunt.
2009,James Sandoval,2,M,Taylorfurt,Syrian Arab Republic,2238513434845832,"2474 Wright Junctions, Joshuashire, SC 39677",Yearly,Active,PantsWear,Clothing,Pants,-67.00,2023-10-13,8,3,Autem vitae a sequi sunt eum rerum porro.
2010,Martha Wright,32,F,East Saraberg,Cayman Islands,2229716396154769,"45695 Cortez Route Apt. 786, Porterview, MA 70362",Yearly,Active,NULL,Grocery,Beverages,308.00,2019-01-30,7,3,Corporis libero officiis provident reiciendis aut ipsam.
