"id","name","age","gender","city","country","credit_card","full_address","user_source_type","user_status","product_name","category","subcategory","price","date_purchase","quantity","rating","comment","created_at","updated_at"
"1","Marilyn Morgan","150","F","Smithville","Samoa","2241740277984304","37183 Dean Via Suite 526, Lake Jamesfort, TN 47481","Yearly","Active","TastyVegetables","Grocery","Vegetables","233.00","2023-08-25","1","5","Blanditiis explicabo modi ducimus nulla in cumque amet.","2024-01-23 08:32:39","2024-01-23 08:32:39"
"2","Jacob Morris","150","M","Mossport","Isle of Man","2706157588459553","51547 Todd Terrace Apt. 986, East Paulmouth, KS 25160","Yearly","Churned","ComfortTable","Furniture","Table","431.00","2021-03-08","9","5","Fuga nisi harum optio omnis corporis.","2024-01-23 08:32:39","2024-01-23 08:32:39"
"3","Daniel Parker","4","F","East Robert","Burkina Faso","5319687614682051","6404 Kara Crossroad Apt. 931, Gonzalezview, AS 48937","Yearly","Churned","BeveragesBurst","Grocery","Beverages","339.00","2023-04-17","2","3","Temporibus esse sed odio animi.","2024-01-23 08:32:39","2024-01-23 08:32:39"
"4","Renee Gonzalez","150","F","Lake Jaredtown","Syrian Arab Republic","2358244960620449","179 Stephanie Keys Apt. 504, Lopezton, CO 27180","Yearly","Active","VegetablesBurst","Grocery","Vegetables","-94.00","2021-05-05","4","3","Quos a eum tempora est.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"5","Melinda Moore MD","83","F","Proctormouth","Bermuda","2275194241991673","51198 Michael Ramp Suite 001, Lake Tonymouth, MS 36815","Yearly","Churned","The Art of Educational","Books","Educational","944.00","2023-05-31","7","5","Dolorum dolor corrupti dolorum tempore quaerat.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"6","Donald Durham","80","M","South Robert","Mismatched Country","2281563971844967","04223 Shelby Extension Suite 208, Ashleyfurt, NJ 24251","Yearly","Active","ChairDeluxe","Furniture","Chair","-82.00","2020-12-29","10","4","Ut quia est enim amet.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"7","Jill Hogan","97","F","Lake Rebecca","Svalbard & Jan Mayen Islands","2234970910181138","PSC 4507, Box 1506, APO AA 73181","Yearly","Churned","ShirtFits","Clothing","Shirt","-47.00","2021-01-24","10","5","Numquam ullam consequuntur tempore minima tempore.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"8","Harry Hopkins DVM","5","M","Port Scott","New Zealand","5327735313150381","25021 Davis Harbor Suite 157, North Davidport, VT 59756","Yearly","Churned","Non-fictionGuide","Books","Non-fiction","19.00","2021-05-04","3","4","Velit aliquam dolor ullam aut.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"9","Marie Weber","-2","F","South Alisonville","Congo","2603258355593113","039 Moore Expressway Apt. 152, Patrickstad, MO 62074","Yearly","Active","EducationalTales","Books","Educational","989.00","2022-07-18","2","4","Qui fuga sunt velit eum cupiditate.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"10","Elizabeth Dodson","150","M","Morrisburgh","Iraq","2709274101646082","50576 Shelia Mountains Apt. 210, Paulamouth, SD 76698","Yearly","Active","VegetablesBurst","Grocery","Vegetables","-94.00","2023-10-06","9","5","Nihil placeat quibusdam harum rem consequatur dignissimos quisquam.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"11","Dan Robles","150","F","Port Michael","Saint Helena","5469412347426777","085 Dawn Mountain, Shannonchester, ID 22094","Yearly","Churned","JacketFits","Clothing","Jacket","-71.00","2019-06-08","7","4","Facilis magnam aspernatur corrupti qui quasi perspiciatis dolorem modi.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"12","Melissa Lee","94","M","Port James","Finland","2480334502726282","56095 Nicholas Unions Suite 213, Haleymouth, SC 59836","Yearly","Active","FreshBeverages","Grocery","Beverages","805.00","2022-04-14","8","4","Enim qui est ipsum cupiditate officiis.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"13","Brian Pierce","150","M","New Danielle","Chad","2412855913198094","75970 Barbara Meadow, Richardbury, NY 70392","Yearly","Churned","LaptopPro","Electronics","Laptop","-35.00","2022-03-18","7","4","Suscipit est adipisci blanditiis corrupti corporis et et.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"14","Jeffrey Jones","91","F","Munozview","Turkmenistan","2370315530884188","598 Alice Corner, Port Tara, OH 59842","Monthly","Churned","SofaDeluxe","Furniture","Sofa","-46.00","2021-09-30","8","1","Dicta eum id ut sapiente velit velit accusamus.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"15","Joan Watts","2","F","Port Penny","Niue","2720243958931520","291 Greg Place Suite 871, Josephburgh, PA 98612","Yearly","Churned","Non-fictionGuide","Books","Non-fiction","944.00","2023-09-06","10","2","Velit et qui sit.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"16","Barbara Oneal","88","F","East Danielville","Lao People's Democratic Republic","2251987196836761","096 Rachel Stream, Davisstad, VT 17200","Monthly","Active","ChairDeluxe","Furniture","Chair","206.00","2022-01-08","1","1","Excepturi ea et sed praesentium eos odio.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"17","Christopher Walker DDS","150","F","Ruthport","Sao Tome and Principe","2655839996690561","753 John Mill, Smithmouth, AK 52631","Yearly","Active","ComfortChair","Furniture","Chair","-22.00","2021-06-09","1","1","At laborum consequuntur quia quo consequatur et sit.","2024-01-23 08:32:40","2024-01-23 08:32:40"
